  PID  SPID TTY          TIME CMD
    1     1 ?        00:02:45 systemd
    2     2 ?        00:00:00 kthreadd
    3     3 ?        00:00:05 ksoftirqd/0
    5     5 ?        00:00:00 kworker/0:0H
    7     7 ?        00:00:00 migration/0
    8     8 ?        00:00:00 rcu_bh
    9     9 ?        00:14:05 rcu_sched
   10    10 ?        00:00:00 lru-add-drain
   11    11 ?        00:00:03 watchdog/0
   12    12 ?        00:00:03 watchdog/1
   13    13 ?        00:00:00 migration/1
   14    14 ?        00:00:03 ksoftirqd/1
   16    16 ?        00:00:00 kworker/1:0H
   17    17 ?        00:00:02 watchdog/2
   18    18 ?        00:00:00 migration/2
   19    19 ?        00:00:06 ksoftirqd/2
   21    21 ?        00:00:00 kworker/2:0H
   22    22 ?        00:00:02 watchdog/3
   23    23 ?        00:00:00 migration/3
   24    24 ?        00:00:03 ksoftirqd/3
   26    26 ?        00:00:00 kworker/3:0H
   27    27 ?        00:00:02 watchdog/4
   28    28 ?        00:00:20 migration/4
   29    29 ?        00:00:02 ksoftirqd/4
   31    31 ?        00:00:00 kworker/4:0H
   32    32 ?        00:00:02 watchdog/5
   33    33 ?        00:00:21 migration/5
   34    34 ?        00:00:03 ksoftirqd/5
   36    36 ?        00:00:00 kworker/5:0H
   37    37 ?        00:00:02 watchdog/6
   38    38 ?        00:00:21 migration/6
   39    39 ?        00:00:02 ksoftirqd/6
   41    41 ?        00:00:00 kworker/6:0H
   42    42 ?        00:00:02 watchdog/7
   43    43 ?        00:00:21 migration/7
   44    44 ?        00:00:02 ksoftirqd/7
   46    46 ?        00:00:00 kworker/7:0H
   48    48 ?        00:00:00 kdevtmpfs
   49    49 ?        00:00:00 netns
   50    50 ?        00:00:00 khungtaskd
   51    51 ?        00:00:00 writeback
   52    52 ?        00:00:00 kintegrityd
   53    53 ?        00:00:00 bioset
   54    54 ?        00:00:00 bioset
   55    55 ?        00:00:00 bioset
   56    56 ?        00:00:00 kblockd
   57    57 ?        00:00:00 md
   58    58 ?        00:00:00 edac-poller
   64    64 ?        00:00:13 kswapd0
   65    65 ?        00:00:00 ksmd
   66    66 ?        00:00:08 khugepaged
   67    67 ?        00:00:00 crypto
   75    75 ?        00:00:00 kthrotld
   78    78 ?        00:00:00 kmpath_rdacd
   79    79 ?        00:00:00 kaluad
   84    84 ?        00:00:00 kpsmoused
   86    86 ?        00:00:00 ipv6_addrconf
   99    99 ?        00:00:00 deferwq
  136   136 ?        00:00:00 kauditd
  323   323 ?        00:00:00 ata_sff
  341   341 ?        00:00:00 scsi_eh_0
  342   342 ?        00:00:00 scsi_tmf_0
  343   343 ?        00:00:00 scsi_eh_1
  344   344 ?        00:00:00 scsi_tmf_1
  345   345 ?        00:00:00 scsi_eh_2
  346   346 ?        00:00:00 scsi_tmf_2
  347   347 ?        00:00:00 scsi_eh_3
  348   348 ?        00:00:00 scsi_tmf_3
  349   349 ?        00:00:00 scsi_eh_4
  350   350 ?        00:00:00 scsi_tmf_4
  351   351 ?        00:00:00 scsi_eh_5
  352   352 ?        00:00:00 scsi_tmf_5
  359   359 ?        00:00:00 scsi_eh_6
  360   360 ?        00:00:00 scsi_tmf_6
  361   361 ?        00:00:00 scsi_eh_7
  362   362 ?        00:00:00 scsi_tmf_7
  365   365 ?        00:00:00 scsi_eh_8
  366   366 ?        00:00:00 scsi_tmf_8
  367   367 ?        00:00:00 scsi_eh_9
  368   368 ?        00:00:00 scsi_tmf_9
  369   369 ?        00:00:00 scsi_eh_10
  370   370 ?        00:00:00 scsi_tmf_10
  371   371 ?        00:00:00 scsi_eh_11
  372   372 ?        00:00:00 scsi_tmf_11
  373   373 ?        00:00:00 scsi_eh_12
  374   374 ?        00:00:00 scsi_tmf_12
  375   375 ?        00:00:00 scsi_eh_13
  376   376 ?        00:00:00 scsi_tmf_13
  377   377 ?        00:00:00 scsi_eh_14
  378   378 ?        00:00:00 scsi_tmf_14
  379   379 ?        00:00:00 scsi_eh_15
  380   380 ?        00:00:00 scsi_tmf_15
  473   473 ?        00:00:00 kdmflush
  474   474 ?        00:00:00 bioset
  481   481 ?        00:00:00 kdmflush
  482   482 ?        00:00:00 bioset
  499   499 ?        00:00:00 bioset
  500   500 ?        00:00:00 xfsalloc
  501   501 ?        00:00:00 xfs_mru_cache
  502   502 ?        00:00:00 xfs-buf/dm-1
  503   503 ?        00:00:00 xfs-data/dm-1
  504   504 ?        00:00:00 xfs-conv/dm-1
  505   505 ?        00:00:00 xfs-cil/dm-1
  506   506 ?        00:00:00 xfs-reclaim/dm-
  507   507 ?        00:00:00 xfs-log/dm-1
  508   508 ?        00:00:00 xfs-eofblocks/d
  509   509 ?        00:02:33 xfsaild/dm-1
  510   510 ?        00:00:08 kworker/5:1H
  583   583 ?        00:00:11 systemd-journal
  616   616 ?        00:00:00 lvmetad
  624   624 ?        00:00:00 rpciod
  625   625 ?        00:00:00 xprtiod
  629   629 ?        00:00:00 systemd-udevd
  660   660 ?        00:00:00 irq/50-mei_me
  719   719 ?        00:00:08 kworker/7:1H
  771   771 ?        00:00:00 bioset
  772   772 ?        01:05:18 md0_raid1
  818   818 ?        00:00:01 kworker/3:2
  838   838 ?        00:00:00 led_workqueue
  855   855 ?        00:00:00 kworker/u17:0
  858   858 ?        00:00:00 hci0
  859   859 ?        00:00:00 kvm-irqfd-clean
  860   860 ?        00:00:00 hci0
  862   862 ?        00:00:00 kworker/u17:2
  879   879 ?        00:00:00 xfs-buf/sda2
  880   880 ?        00:00:00 xfs-data/sda2
  881   881 ?        00:00:00 xfs-conv/sda2
  882   882 ?        00:00:00 xfs-cil/sda2
  883   883 ?        00:00:00 xfs-reclaim/sda
  884   884 ?        00:00:00 xfs-log/sda2
  885   885 ?        00:00:00 xfs-eofblocks/s
  900   900 ?        00:00:00 xfsaild/sda2
  901   901 ?        00:00:00 nvidia-modeset
  902   902 ?        00:00:19 jbd2/md0-8
  903   903 ?        00:00:00 ext4-rsv-conver
  911   911 ?        00:00:09 kworker/6:1H
  916   916 ?        00:00:56 kworker/3:1H
  919   919 ?        00:00:00 kdmflush
  920   920 ?        00:00:00 bioset
  931   931 ?        00:00:00 xfs-buf/dm-2
  932   932 ?        00:00:00 xfs-data/dm-2
  933   933 ?        00:00:00 xfs-conv/dm-2
  934   934 ?        00:00:00 xfs-cil/dm-2
  935   935 ?        00:00:00 xfs-reclaim/dm-
  936   936 ?        00:00:00 xfs-log/dm-2
  937   937 ?        00:00:00 xfs-eofblocks/d
  938   938 ?        00:02:26 kworker/2:1H
  939   939 ?        00:04:13 xfsaild/dm-2
  967   967 ?        00:00:00 rpc.idmapd
  968   968 ?        00:00:01 auditd
  968   969 ?        00:00:00 auditd
  970   970 ?        00:00:00 audispd
  970   973 ?        00:00:01 audispd
  972   972 ?        00:00:00 sedispatch
  993   993 ?        01:14:55 accounts-daemon
  993  1004 ?        00:00:00 gmain
  993  1082 ?        01:29:44 gdbus
  996   996 ?        00:01:05 irqbalance
  998   998 ?        00:00:15 systemd-logind
  999   999 ?        00:00:01 rpcbind
 1005  1005 ?        00:00:01 gssproxy
 1005  1016 ?        00:00:00 gssproxy
 1005  1017 ?        00:00:00 gssproxy
 1005  1018 ?        00:00:00 gssproxy
 1005  1019 ?        00:00:00 gssproxy
 1005  1020 ?        00:00:00 gssproxy
 1010  1010 ?        00:00:00 rtkit-daemon
 1010  1083 ?        00:00:05 rtkit-daemon
 1010  1084 ?        00:00:04 rtkit-daemon
 1011  1011 ?        00:00:00 ModemManager
 1011  1028 ?        00:00:00 gmain
 1011  1080 ?        00:00:00 gdbus
 1012  1012 ?        00:00:00 abrtd
 1013  1013 ?        00:00:00 abrt-watch-log
 1014  1014 ?        00:00:01 abrt-watch-log
 1027  1027 ?        00:00:00 smartd
 1032  1032 ?        00:00:00 bluetoothd
 1034  1034 ?        08:38:21 polkitd
 1034  1060 ?        00:12:48 gmain
 1034  1081 ?        02:53:00 gdbus
 1034  1085 ?        00:00:25 JS GC Helper
 1034  1086 ?        00:07:58 JS Sour~ Thread
 1034  1088 ?        00:07:32 polkitd
 1035  1035 ?        00:00:02 lsmd
 1037  1037 ?        00:00:43 avahi-daemon
 1040  1040 ?        04:00:11 dbus-daemon
 1042  1042 ?        00:00:00 chronyd
 1050  1050 ?        00:00:00 avahi-daemon
 1078  1078 ?        00:01:05 kworker/1:1H
 1087  1087 ?        00:00:00 alsactl
 1094  1094 ?        00:00:01 firewalld
 1094  1270 ?        00:00:00 gmain
 1102  1102 ?        00:00:18 ksmtuned
 1127  1127 ?        00:00:02 NetworkManager
 1127  1136 ?        00:00:00 gmain
 1127  1140 ?        00:00:00 gdbus
 1308  1308 ?        00:00:11 kworker/4:1H
 1309  1309 ?        00:02:29 kworker/0:1H
 1315  1315 ?        00:00:00 dhclient
 1579  1579 ?        00:00:00 tuned
 1579  1694 ?        00:00:00 gmain
 1579  1695 ?        00:01:12 tuned
 1579  1711 ?        00:00:00 tuned
 1579  1864 ?        00:00:00 tuned
 1580  1580 ?        00:00:19 nmbd
 1584  1584 ?        00:05:02 deluge-web
 1585  1585 ?        19:12:01 deluged
 1585  1944 ?        00:02:20 deluged
 1585  1945 ?        03:49:09 deluged
 1585  1950 ?        00:00:05 deluged
 1587  1587 ?        00:00:00 rsyslogd
 1587  1596 ?        00:00:35 in:imjournal
 1587  1607 ?        00:00:01 rs:main Q:Reg
 1588  1588 ?        00:00:00 rpc.statd
 1592  1592 ?        00:00:00 sshd
 1593  1593 ?        00:00:37 openvpn
 1599  1599 ?        00:00:30 httpd
 1601  1601 ?        00:00:00 libvirtd
 1601  1618 ?        00:00:00 libvirtd
 1601  1619 ?        00:00:00 libvirtd
 1601  1620 ?        00:00:00 libvirtd
 1601  1621 ?        00:00:00 libvirtd
 1601  1622 ?        00:00:00 libvirtd
 1601  1623 ?        00:00:00 libvirtd
 1601  1624 ?        00:00:00 libvirtd
 1601  1625 ?        00:00:00 libvirtd
 1601  1626 ?        00:00:00 libvirtd
 1601  1627 ?        00:00:00 libvirtd
 1601  1651 ?        00:00:00 libvirtd
 1601  1652 ?        00:00:00 libvirtd
 1601  1653 ?        00:00:00 libvirtd
 1601  1654 ?        00:00:00 libvirtd
 1601  1655 ?        00:00:00 libvirtd
 1601  2592 ?        00:00:00 libvirtd
 1606  1606 ?        00:00:00 Plex Media Serv
 1606  1761 ?        00:00:11 Plex Media Serv
 1606  1769 ?        00:02:52 Plex Media Serv
 1606  1879 ?        00:03:43 Plex Media Serv
 1606  1880 ?        00:03:42 Plex Media Serv
 1606  1888 ?        00:00:09 Plex Media Serv
 1606  1889 ?        00:00:23 Plex Media Serv
 1606  1890 ?        00:00:14 Plex Media Serv
 1606  2367 ?        00:00:34 Plex Media Serv
 1606  2371 ?        00:00:00 Plex Media Serv
 1606  2373 ?        00:01:22 Plex Media Serv
 1606  2398 ?        00:00:00 Plex Media Serv
 1606  2401 ?        00:00:00 Plex Media Serv
 1606  2403 ?        00:00:00 Plex Media Serv
 1606  2477 ?        00:00:52 Plex Media Serv
 1606  2533 ?        00:00:00 Plex Media Serv
 1606 26557 ?        00:00:00 Plex Media Serv
 1606 26747 ?        00:00:00 Plex Media Serv
 1606 27192 ?        00:00:00 Plex Media Serv
 1606 13131 ?        00:00:00 Plex Media Serv
 1606 25765 ?        00:00:00 Plex Media Serv
 1606 27812 ?        00:00:00 Plex Media Serv
 1606 27814 ?        00:00:00 Plex Media Serv
 1606 27816 ?        00:00:00 Plex Media Serv
 1606 27818 ?        00:00:00 Plex Media Serv
 1606 27820 ?        00:00:00 Plex Media Serv
 1606 27822 ?        00:00:00 Plex Media Serv
 1606 27824 ?        00:00:00 Plex Media Serv
 1606 27826 ?        00:00:00 Plex Media Serv
 1611  1611 ?        00:00:00 atd
 1612  1612 ?        00:00:00 gdm
 1612  1628 ?        00:00:00 gmain
 1612  1630 ?        00:00:00 gdbus
 1612  2537 ?        00:00:00 gdm
 1613  1613 ?        00:00:01 crond
 1615  1615 ?        00:00:02 smbd
 1632  1632 ?        00:00:00 rpc.mountd
 1668  1668 ?        00:00:01 smbd-notifyd
 1669  1669 ?        00:00:01 cleanupd
 1681  1681 ?        00:00:01 lpqd
 1692  1692 ?        00:00:01 cupsd
 1737  1737 ?        00:00:00 nfsd4_callbacks
 1738  1738 ?        00:00:00 colord
 1738  1756 ?        00:00:00 gmain
 1738  1768 ?        00:00:00 gdbus
 1743  1743 ?        00:00:00 lockd
 1749  1749 ?        00:00:00 nfsd
 1750  1750 ?        00:00:00 nfsd
 1762  1762 ?        00:00:00 nfsd
 1763  1763 ?        00:00:00 nfsd
 1764  1764 ?        00:00:00 nfsd
 1765  1765 ?        00:00:00 nfsd
 1766  1766 ?        00:00:00 nfsd
 1767  1767 ?        00:00:00 nfsd
 1877  1877 ?        00:13:03 python
